batch_index,start_sample,accuracy,drift_detected
0,0,0.984,False
1,500,0.918,True
2,1000,0.994,True
3,1500,1.0,True
4,2000,0.996,True
5,2500,1.0,True
6,3000,1.0,True
7,3500,1.0,True
8,4000,1.0,True
9,4500,1.0,True
10,5000,1.0,True
11,5500,1.0,True
12,6000,1.0,True
13,6500,1.0,True
14,7000,1.0,True
15,7500,1.0,True
16,8000,1.0,True
17,8500,1.0,True
18,9000,1.0,True
19,9500,1.0,True
20,10000,1.0,True
21,10500,1.0,True
22,11000,1.0,True
23,11500,1.0,True
24,12000,1.0,True
25,12500,1.0,True
26,13000,1.0,True
27,13500,1.0,True
28,14000,1.0,True
29,14500,1.0,True
30,15000,1.0,True
31,15500,1.0,True
32,16000,1.0,True
33,16500,1.0,True
34,17000,1.0,True
35,17500,1.0,True
36,18000,1.0,True
37,18500,1.0,True
38,19000,1.0,True
39,19500,1.0,True
40,20000,1.0,True
41,20500,1.0,True
42,21000,1.0,True
43,21500,1.0,True
44,22000,1.0,True
45,22500,1.0,True
46,23000,1.0,True
47,23500,1.0,True
48,24000,1.0,True
49,24500,1.0,True
50,25000,1.0,True
51,25500,1.0,True
52,26000,1.0,True
53,26500,1.0,True
54,27000,1.0,True
55,27500,1.0,True
56,28000,1.0,True
57,28500,1.0,True
58,29000,1.0,True
59,29500,1.0,True
60,30000,1.0,True
61,30500,1.0,True
62,31000,1.0,True
63,31500,1.0,True
64,32000,1.0,True
65,32500,1.0,True
66,33000,1.0,True
67,33500,1.0,True
68,34000,1.0,True
69,34500,1.0,True
70,35000,1.0,True
71,35500,1.0,True
72,36000,1.0,True
73,36500,1.0,True
74,37000,1.0,True
75,37500,1.0,True
76,38000,1.0,True
77,38500,1.0,True
78,39000,1.0,True
79,39500,1.0,True
80,40000,1.0,True
81,40500,1.0,True
82,41000,1.0,True
83,41500,1.0,True
84,42000,1.0,True
85,42500,1.0,True
86,43000,1.0,True
87,43500,1.0,True
88,44000,1.0,True
89,44500,1.0,True
90,45000,1.0,True
91,45500,1.0,True
92,46000,1.0,True
93,46500,1.0,True
94,47000,1.0,True
95,47500,1.0,True
96,48000,1.0,True
97,48500,1.0,True
98,49000,1.0,True
99,49500,1.0,True
100,50000,1.0,True
101,50500,1.0,True
102,51000,1.0,True
103,51500,1.0,True
104,52000,1.0,True
105,52500,1.0,True
106,53000,1.0,True
107,53500,1.0,True
108,54000,1.0,True
109,54500,1.0,True
110,55000,1.0,True
111,55500,1.0,True
112,56000,1.0,True
113,56500,1.0,True
114,57000,1.0,True
115,57500,1.0,True
116,58000,1.0,True
117,58500,1.0,True
118,59000,1.0,True
119,59500,1.0,True
120,60000,1.0,True
121,60500,1.0,True
122,61000,1.0,True
123,61500,1.0,True
124,62000,1.0,True
125,62500,1.0,True
126,63000,1.0,True
127,63500,1.0,True
128,64000,1.0,True
129,64500,1.0,True
130,65000,1.0,True
131,65500,1.0,True
132,66000,1.0,True
133,66500,1.0,True
134,67000,1.0,True
135,67500,1.0,True
136,68000,1.0,True
137,68500,0.998,True
138,69000,1.0,True
139,69500,1.0,True
140,70000,1.0,True
141,70500,1.0,True
142,71000,1.0,True
143,71500,1.0,True
144,72000,1.0,True
145,72500,1.0,True
146,73000,1.0,True
147,73500,1.0,True
148,74000,1.0,True
149,74500,1.0,True
150,75000,1.0,True
151,75500,1.0,True
152,76000,1.0,True
153,76500,1.0,True
154,77000,1.0,True
155,77500,1.0,True
156,78000,1.0,True
157,78500,1.0,True
158,79000,1.0,True
159,79500,1.0,True
160,80000,1.0,True
161,80500,1.0,True
162,81000,1.0,True
163,81500,1.0,True
164,82000,1.0,True
165,82500,1.0,True
166,83000,1.0,True
167,83500,1.0,True
168,84000,1.0,True
169,84500,1.0,True
170,85000,1.0,True
171,85500,1.0,True
172,86000,1.0,True
173,86500,1.0,True
174,87000,1.0,True
175,87500,1.0,True
176,88000,1.0,True
177,88500,1.0,True
178,89000,1.0,True
179,89500,1.0,True
180,90000,1.0,True
181,90500,1.0,True
182,91000,1.0,True
183,91500,1.0,True
184,92000,1.0,True
185,92500,1.0,True
186,93000,1.0,True
187,93500,1.0,True
188,94000,1.0,True
189,94500,1.0,True
190,95000,1.0,True
191,95500,1.0,True
192,96000,1.0,True
193,96500,1.0,True
194,97000,1.0,True
195,97500,1.0,True
196,98000,1.0,True
197,98500,1.0,True
198,99000,1.0,True
199,99500,1.0,True
200,100000,1.0,True
201,100500,1.0,True
202,101000,0.992,True
203,101500,0.976,True
204,102000,0.972,True
205,102500,0.96,True
206,103000,0.93,True
207,103500,0.346,True
208,104000,0.108,True
209,104500,0.104,True
210,105000,0.142,True
211,105500,0.114,True
212,106000,0.17,True
213,106500,0.19,True
214,107000,0.252,True
215,107500,0.292,True
216,108000,0.236,True
217,108500,0.434,True
218,109000,1.0,True
219,109500,1.0,True
220,110000,1.0,True
221,110500,1.0,True
222,111000,1.0,True
223,111500,1.0,True
224,112000,1.0,True
225,112500,1.0,True
226,113000,1.0,True
227,113500,1.0,True
228,114000,1.0,True
229,114500,1.0,True
230,115000,1.0,True
231,115500,1.0,True
232,116000,1.0,True
233,116500,1.0,True
234,117000,1.0,True
235,117500,1.0,True
236,118000,1.0,True
237,118500,1.0,True
238,119000,1.0,True
239,119500,1.0,True
240,120000,1.0,True
241,120500,1.0,True
242,121000,1.0,True
243,121500,1.0,True
244,122000,1.0,True
245,122500,1.0,True
246,123000,1.0,True
247,123500,1.0,True
248,124000,1.0,True
249,124500,1.0,True
250,125000,1.0,True
251,125500,1.0,True
252,126000,1.0,True
253,126500,1.0,True
254,127000,1.0,True
255,127500,1.0,True
256,128000,1.0,True
257,128500,1.0,True
258,129000,1.0,True
259,129500,1.0,True
260,130000,1.0,True
261,130500,1.0,True
262,131000,1.0,True
263,131500,1.0,True
264,132000,1.0,True
265,132500,1.0,True
266,133000,1.0,True
267,133500,1.0,True
268,134000,1.0,True
269,134500,1.0,True
270,135000,1.0,True
271,135500,1.0,True
272,136000,1.0,True
273,136500,1.0,True
274,137000,1.0,True
275,137500,1.0,True
276,138000,1.0,True
277,138500,1.0,True
278,139000,1.0,True
279,139500,1.0,True
280,140000,1.0,True
281,140500,1.0,True
282,141000,1.0,True
283,141500,1.0,True
284,142000,1.0,True
285,142500,1.0,True
286,143000,1.0,True
287,143500,1.0,True
288,144000,1.0,True
289,144500,1.0,True
290,145000,1.0,True
291,145500,1.0,True
292,146000,1.0,True
293,146500,1.0,True
294,147000,1.0,True
295,147500,1.0,True
296,148000,1.0,True
297,148500,1.0,True
298,149000,1.0,True
299,149500,1.0,True
